latitude,longitude,DepthInMeters,ObservationDate
25.275,-84.25,159,8/2/1981
27.925,-91.48,188,9/4/1989
27.925,-91.48,188,9/4/1989
27.925,-91.48,188,9/4/1989
27.925,-91.48,188,9/4/1989
27.744,-91.13,137,9/5/1989
27.744,-91.13,137,9/5/1989
27.744,-91.13,137,9/5/1989
27.736,-91.12,183,9/6/1989
27.736,-91.12,183,9/6/1989
27.744,-91.13,137,9/5/1989
27.744,-91.13,137,9/5/1989
27.744,-91.13,137,9/5/1989
27.744,-91.13,137,9/5/1989
27.925,-91.48,188,9/4/1989
27.736,-91.12,183,9/6/1989
27.736,-91.12,183,9/6/1989
27.844,-91.38,274,9/7/1989
27.844,-91.38,274,9/7/1989
27.844,-91.38,274,9/7/1989
27.709,-91.13,368,9/7/1989
27.805,-91.56,258,9/8/1989
27.805,-91.56,258,9/8/1989
29.4,-88.07,58,1885-03-04
29.15,-85.28,33,7/15/1957
27.12,-84.82,243,4/24/1981
28.293,-86.25,622,4/16/1984
28.584,-86.76,625,5/13/1985
28.018,-85.66,629,5/16/1985
28.127,-85.86,628,5/16/1985
28.226,-86.11,618,5/17/1985
28.278,-86.2,616,5/17/1985
28.316,-86.32,613,5/17/1985
28.119,-86.29,834,5/17/1985
27.719,-92.15,522,6/10/1985
26.74,-93.31,1413,4/9/1984
28.293,-86.25,622,4/16/1984
28.584,-86.76,625,5/13/1985
28.127,-85.86,628,5/16/1985
28.278,-86.2,616,5/17/1985
27.327,-91.52,1203,6/13/1985
28.499,-86.97,812,5/13/1985
28.018,-85.66,629,5/16/1985
28.226,-86.11,618,5/17/1985
28.316,-86.32,613,5/17/1985
28.119,-86.29,834,5/17/1985
27.862,-90.76,479,5/23/1985
27.712,-91.55,543,6/10/1985
27.712,-91.55,543,6/10/1985
26.942,-89.55,2400,11/28/1983
27.759,-91.23,465,6/11/1985
27.844,-91.38,274,9/7/1989
27.805,-91.56,258,9/8/1989
27.807,-91.54,292,9/9/1989
27.02,-84.92,503,6/18/1969
27.88,-85.22,485,6/19/1969
27.81,-91.56,354,9/9/1989
27.736,-91.12,183,9/6/1989
27.736,-91.12,183,9/6/1989
27.81,-91.56,354,9/9/1989
27.844,-91.38,274,9/7/1989
27.805,-91.56,258,9/8/1989
27.744,-91.13,137,9/5/1989
27.744,-91.13,137,9/5/1989
27.744,-91.13,137,9/5/1989
27.925,-91.48,188,9/4/1989
27.744,-91.13,137,9/5/1989
27.744,-91.13,137,9/5/1989
27.807,-91.54,292,9/9/1989
27.925,-91.48,188,9/4/1989
27.925,-91.48,188,9/4/1989
27.925,-91.48,188,9/4/1989
29.25,-88.1,110,1885-03-04
27.78,-91.55,366,6/16/1987
27.78,-91.55,366,6/16/1987
29.158,-88.02,448,8/25/1991
29.82,-87.18,85,8/21/1990
28.8,-87.95,1829,7/13/1960
28.93,-88.13,1532,7/28/1962
29.82,-87.18,84,8/21/1990
28.92,-87.38,1463,1/15/1970
28.9,-87.48,1829,1/16/1970
28.75,-88.22,1646,1/28/1970
29.3,-88.35,68,10/14/1991
29.849,-87.28,67,8/28/1991
29.156,-88.02,457,8/6/1992
27.533,-93.02,741,4/11/1952
24.367,-87.78,549,8/9/1970
27.873,-91.85,175,4/11/1976
26.525,-96.43,95,2/5/1939
29.55,-88.4,48,2/5/1962
25.0,-84.0,126,7/14/1965
27.818,-93.66,114,4/25/1976
29.55,-88.4,48,2/5/1962
29.55,-88.4,48,2/5/1962
27.92,-91.48,188,9/4/1989
29.41,-88.0,76,8/12/1997
29.447,-87.7,73,8/8/1997
29.445,-87.58,70,8/10/1997
29.42,-86.35,183,7/21/1967
29.25,-88.5,109,5/3/1956
28.548,-89.93,100,1983
29.2,-88.57,59,8/5/1953
29.847,-87.28,70,8/28/1991
29.183,-88.28,254,2/5/1938
29.458,-87.81,55,1885-03-04
25.747,-84.35,159,7/26/1981
27.79,-91.55,308,6/16/1987
27.79,-91.55,308,6/16/1987
27.79,-91.55,308,6/16/1987
27.79,-91.55,308,6/16/1987
27.75,-91.22,538,8/6/1992
29.445,-87.61,76,8/1/1999
26.267,-92.41,2039,5/11/2000
26.503,-91.81,1859,5/8/2000
28.32,-92.77,58,6/15/2000
27.191,-91.41,2265,5/6/2000
28.18,-89.45,1055,6/16/2000
26.251,-91.2,785,6/10/2000
26.251,-91.2,2105,5/9/2000
26.251,-91.2,785,6/10/2000
29.2,-88.57,59,8/5/1953
29.439,-87.57,69,9/30/1997
29.439,-87.57,69,9/30/1997
29.439,-87.57,69,9/30/1997
29.439,-87.57,69,9/30/1997
29.439,-87.57,69,9/30/1997
29.439,-87.57,69,9/30/1997
29.439,-87.57,69,9/30/1997
29.439,-87.57,69,8/1/1998
29.439,-87.57,69,8/1/1998
29.439,-87.57,69,8/1/1998
29.439,-87.57,69,8/1/1998
29.439,-87.57,69,8/1/1998
29.439,-87.57,69,8/1/1998
29.439,-87.57,69,8/1/1998
29.439,-87.57,69,8/1/1998
29.439,-87.57,69,8/1/1998
