decimallongitude,decimallatitude,date_year,scientificname,depth
124.98666,-14.49166,2007.0,Montipora foliosa,
124.98666,-14.49166,2007.0,Montipora foliosa,
124.92333,-14.53833,2007.0,Montipora foliosa,
124.92333,-14.52167,2007.0,Montipora foliosa,
124.97333,-14.50833,2007.0,Montipora foliosa,
124.99333,-14.475,2007.0,Montipora foliosa,
124.925,-14.53833,2007.0,Montipora foliosa,
152.4,-23.91667,1971.0,Montipora foliosa,
151.81666,-23.23333,1971.0,Montipora foliosa,
151.81666,-23.23333,1971.0,Montipora foliosa,
151.81666,-23.23333,1971.0,Montipora foliosa,
151.81666,-23.23333,1971.0,Montipora foliosa,
151.81666,-23.23333,1971.0,Montipora foliosa,
151.81666,-23.23333,1971.0,Montipora foliosa,
151.81666,-23.23333,1971.0,Montipora foliosa,
151.81666,-23.23333,1971.0,Montipora foliosa,
151.81666,-23.23333,1971.0,Montipora foliosa,
164.02331,-20.16682,2007.0,Montipora foliosa,
146.5,-18.63333,1993.0,Montipora foliosa,
